3858241	0.15	[3634889,3398406,956203,3557384,1324234]
3858242	0.15	[3707004,3319261,1515701,3668705]
3858243	0.15	[3146465,2949611,3221341,3684611,3156927,3574238,3681785]
3858244	0.15	[2211676,17445,2838924,2912700,2635670,14040]
3858245	0.15	[2072303,3699969,3621837,3553737,3176316,3608095,3755824]
3858246	0.15	[3451067,3503079,3601877]
3858247	0.15	[3755824,2807431,3621837,1600859,3694819]
3858248	0.15	[2875449,3706104,3641592,3304558]
3858249	0.15	[3054117,3289214,3748663,3418664,3609772,3611446,3611447]
3858250	0.15	[2883675,3546715,3324482,3320622,2741776,2869141,3331084,3365730]
3858251	0.15	[1106732,3694825,3059597,3320907,3092049,3319588,1092080]
3858252	0.15	[3458874,3060453,2060100,1664491,1582881,2518060,1572275,3724760]
3858253	0.15	[2665963,2702225,3097369,2842777,2331472]
3858254	0.15	[2945241,2869143,3736601]
3858255	0.15	[2866982,2709817,3377635,3284812]
3858256	0.15	[3413665,2129225,3695690,2012755]
3858257	0.15	[3510888,3681796,3290704,2784132,2368930]
3858258	0.15	[1331793,1540798]
3858259	0.15	[3390168]
3858260	0.15	[3755838,3090973,2437135,3436095,2984846,2041616,2991750,3608111,2784424]
3858261	0.15	[3120012,3238540,3108623]
3858262	0.15	[3294139,3452714,3416492,3720533,3557750,3579684]
3858263	0.15	[3608118,3594838]
3858264	0.15	[3137017,3299456,3368229,3530488,3203002,3606627]
3858265	0.15	[2167296,3163943,3254355,3731335]
3858266	0.15	[1342036,2423658,1838448,842965,2677837,1971175]
3858267	0.15	[2817867,2896239,3626542]
3858268	0.15	[3314119,3045294]
3858269	0.15	[2599580,2926378,2726419,3528693]
3858270	0.15	[3261129,2425675,1377626,3187371,1274165,3582118]
3858271	0.15	[2803865,2495599,1012404,2885718,3445882,2169882,3345675,3186025]
3858272	0.15	[2540919,2025946,3286446,2294197,733470,1137078]
3858273	0.15	[2826500,2876062,3402068,2765243,3431162]
3858274	0.15	[3628845,3398487,2224232,3648327]
3858275	0.15	[2720005,2910652,2738556,2450511,1479503,3131364,3139595,3001718,2292141,2451504,2915790]
3858276	0.15	[3120030,466846,2879549,3387337]
3858277	0.15	[3685100]
3858278	0.15	[2446021,2621372,2761179,3611507,55828]
3858279	0.15	[3203058,3222745,2901801,2229003]
3858280	0.15	[1130716,2815971,2838266,3033016,1457550,1454857,1714684]
3858281	0.15	[1963446,777409,3744099,1315755]
3858282	0.15	[2756172,3790992,2787435,2909822,3638286,1959319]
3858283	0.15	[2784474,2267384,3583041,2154099,2273773,2157381]
3858284	0.15	[3778127,3602754,3602756]
3858285	0.15	[3545078,2727297,2907097,2955773,2724562]
3858286	0.15	[1477851,3286595,3509619,3555963,3650018,3354761]
3858287	0.15	[1687498,2005885,2312762,3757398,3693544,3475803,3613316]
3858288	0.15	[2702216,3140130,822723]
3858289	0.15	[2043931,3691641,2072984,3527087,3820386,3697865]
3858290	0.15	[3301527,3446480,3697192,2779565,1905944,1908074,3627443]
3858291	0.15	[2512748,3768550,2351425,2004151,2340853,1840417]
3858292	0.15	[3703954]
3858293	0.15	[3775825]
3858294	0.15	[3529341,3584362,3310865]
3858295	0.15	[3122826,3624888,3553813]
3858296	0.15	[3525147,3602972,3672026,3689976]
3858297	0.15	[3581379,3494014,2814859,3347083]
3858298	0.15	[2863346,3028987,3373474,3142113,3785050,1929245,2916812,3048212]
3858299	0.15	[3718965,3711931]
3858300	0.15	[1631889,2339897,2160395]
3858301	0.15	[3751785,3508319,2148213]
3858302	0.15	[3212369,3151510,2395374,3768143,3706241,3774478]
